distance,task,isComparisonCorrect,workerId,isPercentCorrect,chart,time,dataSize,timeMid
0.08,COMP,1,A2G0H0EMDFSOZZ,1,WB,9.844,75,3.559
0.07,COMP,1,A2G0H0EMDFSOZZ,1,WB,5.438,300,2.208
0.08,COMP,1,A2G0H0EMDFSOZZ,1,WB,5.599,300,2.399
0.02,COMP,1,A2G0H0EMDFSOZZ,1,WB,7.866,75,2.942
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,9.837,75,3.008
0.08,COMP,1,A2G0H0EMDFSOZZ,1,WB,6.946,75,2.101
0.08,COMP,1,A2G0H0EMDFSOZZ,1,WB,7.12,150,2.835
0.13,COMP,1,A2G0H0EMDFSOZZ,0,WB,4.775,300,2.339
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,5.141,75,2.617
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,5.058,300,2.286
0.07,COMP,1,A2G0H0EMDFSOZZ,1,WB,6.894,150,2.79
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,5.059,150,2.243
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,4.335,150,2.224
0.57,COMP,1,A2G0H0EMDFSOZZ,0,WB,4.875,150,2.324
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,5.467,300,2.164
0.08,COMP,1,A2G0H0EMDFSOZZ,1,WB,5.095,75,3.598
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,3.48,150,1.737
0.02,COMP,1,A2G0H0EMDFSOZZ,1,WB,4.987,300,1.543
0.02,COMP,1,A2G0H0EMDFSOZZ,1,WB,5.106,75,2.33
0.02,COMP,1,A2G0H0EMDFSOZZ,1,WB,5.017,300,2.101
0.02,COMP,1,A2G0H0EMDFSOZZ,1,WB,4.953,300,2.116
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,4.223,150,2.387
0.07,COMP,1,A2G0H0EMDFSOZZ,1,WB,5.076,75,2.456
0.12,COMP,1,A2G0H0EMDFSOZZ,0,WB,4.168,150,1.643
0.02,COMP,1,A2G0H0EMDFSOZZ,1,WB,7.079,75,2.552
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,4.362,150,1.805
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,5.179,75,3.771
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,6.562,300,3.906
0.13,COMP,1,A2G0H0EMDFSOZZ,0,WB,5.247,150,2.768
0.03,COMP,1,A2G0H0EMDFSOZZ,1,WB,4.233,300,1.954
0.07,COMP,1,A1YSYI926BBOHW,1,TM,9.342,75,4.152
0.03,COMP,1,A1YSYI926BBOHW,1,TM,7.533,150,2.673
0.03,COMP,1,A1YSYI926BBOHW,1,TM,6.499,75,3.259
0.08,COMP,1,A1YSYI926BBOHW,1,TM,9.271,300,2.498
0.02,COMP,1,A1YSYI926BBOHW,1,TM,5.687,75,3.671
0.03,COMP,1,A1YSYI926BBOHW,1,TM,4.813,300,2.346
0.07,COMP,1,A1YSYI926BBOHW,1,TM,7.267,150,2.062
0.07,COMP,1,A1YSYI926BBOHW,1,TM,5.368,300,2.256
0.13,COMP,1,A1YSYI926BBOHW,0,TM,5.207,75,2.092
0.03,COMP,1,A1YSYI926BBOHW,1,TM,4.979,75,2.031
0.03,COMP,1,A1YSYI926BBOHW,1,TM,5.067,75,2.022
0.08,COMP,1,A1YSYI926BBOHW,1,TM,5.811,75,2.263
0.07,COMP,1,A1YSYI926BBOHW,1,TM,5.463,300,2.232
0.03,COMP,1,A1YSYI926BBOHW,1,TM,6.446,75,2.186
0.07,COMP,1,A1YSYI926BBOHW,1,TM,6.003,300,2.334
0.13,COMP,1,A1YSYI926BBOHW,0,TM,4.898,150,2.249
0.02,COMP,1,A1YSYI926BBOHW,1,TM,5.849,150,2.286
0.03,COMP,1,A1YSYI926BBOHW,1,TM,5.329,300,2.127
0.18,COMP,1,A1YSYI926BBOHW,0,TM,4.834,150,2.448
