distance,task,workerId,isCorrect,chart,time,dataSize
0.12,MEAN,A1N8TKTLXV92QR,0,ZP,7.043,75
0.01,MEAN,A1N8TKTLXV92QR,1,ZP,4.094,75
0.0,MEAN,A1N8TKTLXV92QR,1,ZP,8.981,75
0.05,MEAN,A1N8TKTLXV92QR,1,ZP,4.839,75
0.01,MEAN,A1N8TKTLXV92QR,1,ZP,4.879,75
0.01,MEAN,A1N8TKTLXV92QR,1,ZP,5.718,75
0.07,MEAN,A1N8TKTLXV92QR,1,ZP,4.071,75
0.05,MEAN,A1N8TKTLXV92QR,1,ZP,3.185,75
0.02,MEAN,A1N8TKTLXV92QR,1,ZP,3.458,75
0.03,MEAN,A1N8TKTLXV92QR,1,ZP,3.721,75
0.01,MEAN,A1N8TKTLXV92QR,1,ZP,4.373,75
0.03,MEAN,A1N8TKTLXV92QR,1,ZP,3.857,75
0.02,MEAN,A1N8TKTLXV92QR,1,ZP,4.227,75
0.08,MEAN,A1N8TKTLXV92QR,1,ZP,5.843,75
0.03,MEAN,A1N8TKTLXV92QR,1,ZP,2.887,75
0.09,MEAN,A1N8TKTLXV92QR,1,ZP,4.313,75
0.08,MEAN,A1N8TKTLXV92QR,1,ZP,3.164,75
0.02,MEAN,A1N8TKTLXV92QR,1,ZP,3.096,75
0.05,MEAN,A1N8TKTLXV92QR,1,ZP,5.08,75
0.03,MEAN,A1N8TKTLXV92QR,1,ZP,3.261,75
0.08,MEAN,A1N8TKTLXV92QR,1,ZP,3.197,75
0.0,MEAN,A1N8TKTLXV92QR,1,ZP,3.366,75
0.01,MEAN,A1N8TKTLXV92QR,1,ZP,2.735,75
0.09,MEAN,A1N8TKTLXV92QR,1,ZP,2.824,75
0.06,MEAN,A1N8TKTLXV92QR,1,ZP,4.057,75
0.1,MEAN,A1N8TKTLXV92QR,0,ZP,2.575,75
0.02,MEAN,A1N8TKTLXV92QR,1,ZP,2.998,75
0.02,MEAN,A1N8TKTLXV92QR,1,ZP,3.44,75
0.02,MEAN,A1N8TKTLXV92QR,1,ZP,3.458,75
0.09,MEAN,A1N8TKTLXV92QR,1,ZP,3.675,75
0.04,MEAN,A2L4LY7UD7TLV7,1,ZP,5.182,75
0.06,MEAN,A2L4LY7UD7TLV7,1,ZP,6.516,75
0.15,MEAN,A2L4LY7UD7TLV7,0,ZP,5.344,75
0.15,MEAN,A2L4LY7UD7TLV7,0,ZP,5.044,75
0.11,MEAN,A2L4LY7UD7TLV7,0,ZP,7.392,75
0.05,MEAN,A2L4LY7UD7TLV7,1,ZP,4.833,75
0.04,MEAN,A2L4LY7UD7TLV7,1,ZP,8.271,75
0.13,MEAN,A2L4LY7UD7TLV7,0,ZP,5.71,75
0.08,MEAN,A2L4LY7UD7TLV7,1,ZP,6.695,75
0.02,MEAN,A2L4LY7UD7TLV7,1,ZP,24.594,75
0.15,MEAN,A2L4LY7UD7TLV7,0,ZP,4.223,75
0.07,MEAN,A2L4LY7UD7TLV7,1,ZP,4.012,75
0.08,MEAN,A2L4LY7UD7TLV7,1,ZP,3.291,75
0.03,MEAN,A2L4LY7UD7TLV7,1,ZP,4.074,75
0.12,MEAN,A2L4LY7UD7TLV7,0,ZP,5.064,75
0.12,MEAN,A2L4LY7UD7TLV7,0,ZP,3.166,75
0.08,MEAN,A2L4LY7UD7TLV7,1,ZP,3.351,75
0.13,MEAN,A2L4LY7UD7TLV7,0,ZP,6.537,75
0.26,MEAN,A2L4LY7UD7TLV7,0,ZP,4.617,75
0.11,MEAN,A2L4LY7UD7TLV7,0,ZP,3.454,75
0.1,MEAN,A2L4LY7UD7TLV7,0,ZP,3.824,75
0.11,MEAN,A2L4LY7UD7TLV7,0,ZP,2.412,75
0.19,MEAN,A2L4LY7UD7TLV7,0,ZP,3.247,75
0.16,MEAN,A2L4LY7UD7TLV7,0,ZP,2.888,75
0.05,MEAN,A2L4LY7UD7TLV7,1,ZP,3.06,75
0.2,MEAN,A2L4LY7UD7TLV7,0,ZP,2.784,75
0.03,MEAN,A2L4LY7UD7TLV7,1,ZP,2.94,75
0.1,MEAN,A2L4LY7UD7TLV7,0,ZP,2.498,75
0.17,MEAN,A2L4LY7UD7TLV7,0,ZP,3.012,75
0.38,MEAN,A2L4LY7UD7TLV7,0,ZP,2.852,75
0.07,MEAN,A2653BIPJKEMRK,1,TM,6.096,75
0.11,MEAN,A2653BIPJKEMRK,0,TM,7.914,75
0.12,MEAN,A2653BIPJKEMRK,0,TM,9.12,75
0.17,MEAN,A2653BIPJKEMRK,0,TM,4.476,75
0.31,MEAN,A2653BIPJKEMRK,0,TM,11.586,75
0.01,MEAN,A2653BIPJKEMRK,1,TM,6.025,75
0.04,MEAN,A2653BIPJKEMRK,1,TM,7.182,75
0.21,MEAN,A2653BIPJKEMRK,0,TM,5.687,75
0.14,MEAN,A2653BIPJKEMRK,0,TM,4.358,75
0.02,MEAN,A2653BIPJKEMRK,1,TM,12.285,75
0.1,MEAN,A2653BIPJKEMRK,0,TM,5.17,75
0.24,MEAN,A2653BIPJKEMRK,0,TM,3.453,75
0.1,MEAN,A2653BIPJKEMRK,0,TM,10.386,75
0.09,MEAN,A2653BIPJKEMRK,1,TM,5.167,75
0.11,MEAN,A2653BIPJKEMRK,0,TM,5.261,75
0.39,MEAN,A2653BIPJKEMRK,0,TM,6.291,75
0.08,MEAN,A2653BIPJKEMRK,1,TM,9.642,75
0.1,MEAN,A2653BIPJKEMRK,0,TM,3.586,75
0.46,MEAN,A2653BIPJKEMRK,0,TM,3.397,75
0.24,MEAN,A2653BIPJKEMRK,0,TM,4.088,75
0.17,MEAN,A2653BIPJKEMRK,0,TM,3.766,75
0.24,MEAN,A2653BIPJKEMRK,0,TM,2.936,75
0.38,MEAN,A2653BIPJKEMRK,0,TM,5.039,75
0.29,MEAN,A2653BIPJKEMRK,0,TM,3.328,75
0.05,MEAN,A2653BIPJKEMRK,1,TM,3.002,75
0.32,MEAN,A2653BIPJKEMRK,0,TM,3.072,75
0.03,MEAN,A2653BIPJKEMRK,1,TM,14.16,75
0.08,MEAN,A2653BIPJKEMRK,1,TM,7.828,75
0.0,MEAN,A2653BIPJKEMRK,1,TM,6.304,75
0.04,MEAN,A2653BIPJKEMRK,1,TM,5.696,75
0.07,MEAN,A2HHGI5CNSS5PD,1,WB,13.535,75
0.09,MEAN,A2HHGI5CNSS5PD,1,WB,6.044,75
0.03,MEAN,A2HHGI5CNSS5PD,1,WB,7.367,75
0.04,MEAN,A2HHGI5CNSS5PD,1,WB,7.557,75
0.08,MEAN,A2HHGI5CNSS5PD,1,WB,9.518,75
0.06,MEAN,A2HHGI5CNSS5PD,1,WB,10.801,75
0.07,MEAN,A2HHGI5CNSS5PD,1,WB,7.29,75
0.18,MEAN,A2HHGI5CNSS5PD,0,WB,10.708,75
0.04,MEAN,A2HHGI5CNSS5PD,1,WB,11.501,75
0.05,MEAN,A2HHGI5CNSS5PD,1,WB,7.021,75
0.09,MEAN,A2HHGI5CNSS5PD,1,WB,7.186,75
0.01,MEAN,A2HHGI5CNSS5PD,1,WB,7.305,75
0.05,MEAN,A2HHGI5CNSS5PD,1,WB,7.03,75
0.02,MEAN,A2HHGI5CNSS5PD,1,WB,7.323,75
0.03,MEAN,A2HHGI5CNSS5PD,1,WB,7.299,75
0.02,MEAN,A2HHGI5CNSS5PD,1,WB,5.81,75
0.06,MEAN,A2HHGI5CNSS5PD,1,WB,6.859,75
0.04,MEAN,A2HHGI5CNSS5PD,1,WB,6.536,75
0.05,MEAN,A2HHGI5CNSS5PD,1,WB,7.195,75
0.02,MEAN,A2HHGI5CNSS5PD,1,WB,7.306,75
0.12,MEAN,A2HHGI5CNSS5PD,0,WB,5.902,75
0.03,MEAN,A2HHGI5CNSS5PD,1,WB,5.501,75
0.01,MEAN,A2HHGI5CNSS5PD,1,WB,6.566,75
0.14,MEAN,A2HHGI5CNSS5PD,0,WB,7.415,75
0.05,MEAN,A2HHGI5CNSS5PD,1,WB,7.871,75
