distance,task,workerId,isCorrect,chart,time,dataSize
0.22,RANK,A3PTFE5MJV5DU1,0,ZP,23.641,75
0.22,RANK,A3PTFE5MJV5DU1,0,ZP,7.816,300
0.4,RANK,A3PTFE5MJV5DU1,0,ZP,4.299,150
0.85,RANK,A3PTFE5MJV5DU1,0,ZP,2.71,300
0.11,RANK,A3PTFE5MJV5DU1,0,ZP,1.95,300
0.35,RANK,A3PTFE5MJV5DU1,0,ZP,7.595,75
0.86,RANK,A3PTFE5MJV5DU1,0,ZP,4.605,300
0.26,RANK,A3PTFE5MJV5DU1,0,ZP,4.835,300
0.29,RANK,A3PTFE5MJV5DU1,0,ZP,3.051,300
0.11,RANK,A3PTFE5MJV5DU1,0,ZP,2.174,150
0.24,RANK,A3PTFE5MJV5DU1,0,ZP,34.617,75
0.33,RANK,A3PTFE5MJV5DU1,0,ZP,9.471,300
0.17,RANK,A3PTFE5MJV5DU1,0,ZP,4.344,150
0.5,RANK,A3PTFE5MJV5DU1,0,ZP,1.66,75
0.0,RANK,A3PTFE5MJV5DU1,1,ZP,1.637,75
0.5,RANK,A3PTFE5MJV5DU1,0,ZP,4.699,75
0.51,RANK,A3PTFE5MJV5DU1,0,ZP,2.356,75
0.03,RANK,A3PTFE5MJV5DU1,1,ZP,8.848,150
0.19,RANK,A3PTFE5MJV5DU1,0,ZP,2.356,150
0.64,RANK,A3PTFE5MJV5DU1,0,ZP,3.042,300
0.33,RANK,A3PTFE5MJV5DU1,0,ZP,23.156,150
0.1,RANK,A3PTFE5MJV5DU1,0,ZP,13.154,300
0.26,RANK,A3PTFE5MJV5DU1,0,ZP,3.349,75
0.1,RANK,A3PTFE5MJV5DU1,0,ZP,1.816,150
0.64,RANK,A3PTFE5MJV5DU1,0,ZP,3.302,300
0.59,RANK,A3PTFE5MJV5DU1,0,ZP,5.069,150
0.11,RANK,A3PTFE5MJV5DU1,1,ZP,2.791,75
0.45,RANK,A3PTFE5MJV5DU1,0,ZP,4.097,150
0.12,RANK,A3PTFE5MJV5DU1,1,ZP,3.178,75
0.05,RANK,A3PTFE5MJV5DU1,1,ZP,2.637,150
0.07,RANK,A22ON3MIIG0IJA,0,KB,11.302,150
