workerId,chart,data_size,true_percentage,error,responseTime
2279ab19c3b0c03548cecab84e36862888c45566,WB,150,38,12,6923
2279ab19c3b0c03548cecab84e36862888c45566,WB,300,47,3,7029
2279ab19c3b0c03548cecab84e36862888c45566,WB,300,38,3,10260
2279ab19c3b0c03548cecab84e36862888c45566,WB,75,47,3,7418
2279ab19c3b0c03548cecab84e36862888c45566,WB,150,92,2,10841
2279ab19c3b0c03548cecab84e36862888c45566,WB,300,23,7,8325
2279ab19c3b0c03548cecab84e36862888c45566,WB,150,62,12,7510
2279ab19c3b0c03548cecab84e36862888c45566,WB,150,23,2,6928
2279ab19c3b0c03548cecab84e36862888c45566,WB,300,17,7,7345
2279ab19c3b0c03548cecab84e36862888c45566,WB,75,23,2,8098
2279ab19c3b0c03548cecab84e36862888c45566,WB,75,92,7,6187
2279ab19c3b0c03548cecab84e36862888c45566,WB,300,92,3,13541
2279ab19c3b0c03548cecab84e36862888c45566,WB,150,77,8,6700
2279ab19c3b0c03548cecab84e36862888c45566,WB,75,38,8,7943
2279ab19c3b0c03548cecab84e36862888c45566,WB,300,83,7,6819
2279ab19c3b0c03548cecab84e36862888c45566,WB,300,62,12,6139
2279ab19c3b0c03548cecab84e36862888c45566,WB,300,77,8,7633
2279ab19c3b0c03548cecab84e36862888c45566,WB,75,17,8,7844
2279ab19c3b0c03548cecab84e36862888c45566,WB,75,8,2,7503
2279ab19c3b0c03548cecab84e36862888c45566,WB,75,83,8,7128
2279ab19c3b0c03548cecab84e36862888c45566,WB,300,8,82,8504
2279ab19c3b0c03548cecab84e36862888c45566,WB,300,53,3,7797
2279ab19c3b0c03548cecab84e36862888c45566,WB,150,17,73,6559
2279ab19c3b0c03548cecab84e36862888c45566,WB,150,47,12,6021
2279ab19c3b0c03548cecab84e36862888c45566,WB,75,53,3,5224
2279ab19c3b0c03548cecab84e36862888c45566,WB,150,8,2,8058
2279ab19c3b0c03548cecab84e36862888c45566,WB,150,83,7,5581
2279ab19c3b0c03548cecab84e36862888c45566,WB,150,53,3,7773
2279ab19c3b0c03548cecab84e36862888c45566,WB,75,77,2,7768
2279ab19c3b0c03548cecab84e36862888c45566,WB,75,62,13,7398
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,300,62,3,9360
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,75,47,23,7489
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,150,23,12,5627
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,150,62,8,5716
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,150,53,7,9046
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,300,92,3,12103
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,150,17,13,14542
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,300,38,13,6682
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,75,23,37,7556
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,150,8,17,7532
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,300,8,2,8153
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,300,83,2,10707
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,300,77,8,5823
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,150,92,2,5228
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,75,17,8,6022
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,150,83,2,3776
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,75,92,3,5231
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,75,53,22,6753
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,300,47,3,8785
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,75,83,2,3830
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,300,17,13,6435
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,150,77,13,3896
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,75,8,12,3977
a2b2f1d0fa1ba929b5ba1c45ae5e3fea276082ec,TM,150,38,42,6105
