workerId,chart,data_size,true_percentage,error,responseTime
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,75,77,3,8599
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,300,62,23,8770
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,150,53,27,11079
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,75,47,18,8703
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,300,53,37,4982
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,150,92,3,9789
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,150,62,13,15358
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,150,77,8,7145
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,150,38,12,6634
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,300,83,12,8103
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,300,92,3,9013
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,75,62,23,6334
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,150,8,7,4412
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,75,83,12,9298
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,150,23,17,5144
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,300,77,13,5993
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,300,8,2,4175
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,75,23,3,7165
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,150,47,3,6892
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,75,17,3,6517
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,150,17,2,8233
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,75,8,3,6698
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,300,23,2,5252
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,300,17,2,4324
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,75,53,7,5900
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,75,38,2,6372
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,300,38,12,4681
ca4de2f23325e80335f62b675b808ad31730dd7c,WB,300,47,13,9045
